question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Alarm currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Lock currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Tablet currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Monitor currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R1
q08,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R2
q09,ObjectLocation,Where is the Alarm currently located?,ROOM_ID,R3
q10,ObjectLocation,Where is the Lock currently located?,ROOM_ID,R4
q11,GeometryYN,Is the Storage (R5) located at the same latitude as the Lab (R6)?,YES_NO,NO
q12,GeometryYN,Is the MeetingRoom (R4) located at the same latitude as the Storage (R5)?,YES_NO,NO
q13,GeometryYN,Is the Lab (R3) located at the same latitude as the Storage (R2)?,YES_NO,NO
q14,GeometryYN,Is the Lab (R6) located South the Storage (R2)?,YES_NO,YES
q15,GeometryYN,Is the Storage (R2) located North the Lab (R6)?,YES_NO,YES
q16,GeometryYN,Is the MeetingRoom (R4) located at the same latitude as the Lab (R6)?,YES_NO,NO
q17,GeometryYN,Is the MeetingRoom (R4) located South the Storage (R2)?,YES_NO,YES
q18,GeometryYN,Is the MeetingRoom (R1) located at the same latitude as the Storage (R2)?,YES_NO,NO
q19,GeometryYN,Is the Storage (R5) located South the Lab (R3)?,YES_NO,YES
q20,GeometryYN,Is the Storage (R5) located South the Storage (R2)?,YES_NO,YES
q21,TopologyYN,Is there a direct connection between R5 and R2?,YES_NO,YES
q22,TopologyYN,Is there a direct connection between R1 and R2?,YES_NO,YES
q23,TopologyYN,Is there a direct connection between R3 and R6?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,YES
q25,TopologyYN,Is there a direct connection between R4 and R5?,YES_NO,YES
q26,TopologyYN,Is there a direct connection between R3 and R2?,YES_NO,YES
q27,TopologyYN,Is there a direct connection between R2 and R3?,YES_NO,YES
q28,TopologyYN,Is there a direct connection between R3 and R4?,YES_NO,YES
q29,TopologyYN,Is there a direct connection between R3 and R6?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R3 and R4?,YES_NO,YES
q31,ReachabilityYN,Can you reach R3 from R5?,YES_NO,YES
q32,ReachabilityYN,Can you reach R1 from R5?,YES_NO,YES
q33,ReachabilityYN,Can you reach R6 from R5?,YES_NO,YES
q34,ReachabilityYN,Can you reach R6 from R3?,YES_NO,YES
q35,ReachabilityYN,Can you reach R2 from R3?,YES_NO,YES
q36,ReachabilityYN,Can you reach R6 from R1?,YES_NO,YES
q37,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q38,ReachabilityYN,Can you reach R4 from R3?,YES_NO,YES
q39,ReachabilityYN,Can you reach R6 from R1?,YES_NO,YES
q40,ReachabilityYN,Can you reach R2 from R1?,YES_NO,YES
q41,PathGen,Provide the shortest path from R4 to R1.,PATH,R4->R3->R2->R1
q42,PathGen,Provide the shortest path from R5 to R2.,PATH,R5->R2
q43,PathGen,Provide the shortest path from R6 to R3.,PATH,R6->R1->R2->R3
q44,PathGen,Provide the shortest path from R5 to R4.,PATH,R5->R4
q45,PathGen,Provide the shortest path from R3 to R5.,PATH,R3->R2->R5
q46,PathGen,Provide the shortest path from R3 to R5.,PATH,R3->R2->R5
q47,PathGen,Provide the shortest path from R2 to R1.,PATH,R2->R1
q48,PathGen,Provide the shortest path from R3 to R1.,PATH,R3->R2->R1
q49,PathGen,Provide the shortest path from R4 to R5.,PATH,R4->R5
q50,PathGen,Provide the shortest path from R6 to R4.,PATH,R6->R1->R2->R3->R4
