question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Bench currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Shelf currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Monitor currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Phone currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Bench currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Cabinet currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Mixer currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Scanner currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Bench currently located?,ROOM_ID,R1
q10,ObjectLocation,Where is the Shelf currently located?,ROOM_ID,R2
q11,GeometryYN,Is the Lab (R5) located at the same latitude as the Lounge (R4)?,YES_NO,NO
q12,GeometryYN,Is the Lounge (R4) located South the Workshop (R2)?,YES_NO,YES
q13,GeometryYN,Is the Lounge (R4) located North the Studio (R7)?,YES_NO,YES
q14,GeometryYN,Is the Lab (R1) located North the Lounge (R4)?,YES_NO,YES
q15,GeometryYN,Is the Workshop (R2) located at the same latitude as the Studio (R3)?,YES_NO,NO
q16,GeometryYN,Is the Lounge (R8) located South the Studio (R3)?,YES_NO,YES
q17,GeometryYN,Is the Studio (R7) located South the Studio (R3)?,YES_NO,YES
q18,GeometryYN,Is the Workshop (R2) located North the Studio (R7)?,YES_NO,YES
q19,GeometryYN,Is the Lab (R1) located North the Lounge (R4)?,YES_NO,YES
q20,GeometryYN,Is the Workshop (R6) located South the Workshop (R2)?,YES_NO,YES
q21,TopologyYN,Is there a direct connection between R7 and R2?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R7 and R1?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R7 and R1?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R5 and R4?,YES_NO,YES
q25,TopologyYN,Is there a direct connection between R7 and R1?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R5 and R8?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R4 and R6?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R2 and R1?,YES_NO,YES
q29,TopologyYN,Is there a direct connection between R5 and R3?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R6 and R4?,YES_NO,NO
q31,ReachabilityYN,Can you reach R2 from R1?,YES_NO,YES
q32,ReachabilityYN,Can you reach R7 from R3?,YES_NO,YES
q33,ReachabilityYN,Can you reach R6 from R8?,YES_NO,YES
q34,ReachabilityYN,Can you reach R5 from R7?,YES_NO,YES
q35,ReachabilityYN,Can you reach R6 from R5?,YES_NO,YES
q36,ReachabilityYN,Can you reach R1 from R8?,YES_NO,YES
q37,ReachabilityYN,Can you reach R4 from R5?,YES_NO,YES
q38,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q39,ReachabilityYN,Can you reach R7 from R6?,YES_NO,YES
q40,ReachabilityYN,Can you reach R3 from R8?,YES_NO,YES
q41,PathGen,Provide the shortest path from R3 to R6.,PATH,R3->R2->R1->R6
q42,PathGen,Provide the shortest path from R3 to R8.,PATH,R3->R2->R1->R6->R7->R8
q43,PathGen,Provide the shortest path from R5 to R2.,PATH,R5->R2
q44,PathGen,Provide the shortest path from R2 to R5.,PATH,R2->R5
q45,PathGen,Provide the shortest path from R4 to R5.,PATH,R4->R5
q46,PathGen,Provide the shortest path from R3 to R5.,PATH,R3->R2->R5
q47,PathGen,Provide the shortest path from R4 to R6.,PATH,R4->R5->R6
q48,PathGen,Provide the shortest path from R4 to R7.,PATH,R4->R5->R6->R7
q49,PathGen,Provide the shortest path from R1 to R7.,PATH,R1->R6->R7
q50,PathGen,Provide the shortest path from R2 to R8.,PATH,R2->R1->R6->R7->R8
