question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Projector currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Stylus currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Safe currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Camera currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Sensor currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Speaker currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Box currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the FileCabinet currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Projector currently located?,ROOM_ID,R1
q10,ObjectLocation,Where is the Stylus currently located?,ROOM_ID,R2
q11,GeometryYN,Is the Lounge (R5) located South the Library (R2)?,YES_NO,YES
q12,GeometryYN,Is the Storage (R8) located South the Storage (R4)?,YES_NO,YES
q13,GeometryYN,Is the Library (R6) located South the MeetingRoom (R3)?,YES_NO,YES
q14,GeometryYN,Is the Lounge (R5) located North the MeetingRoom (R7)?,YES_NO,YES
q15,GeometryYN,Is the MeetingRoom (R7) located South the Library (R2)?,YES_NO,YES
q16,GeometryYN,Is the MeetingRoom (R3) located North the Library (R6)?,YES_NO,YES
q17,GeometryYN,Is the Library (R6) located South the MeetingRoom (R3)?,YES_NO,YES
q18,GeometryYN,Is the Lounge (R5) located at the same latitude as the Storage (R4)?,YES_NO,NO
q19,GeometryYN,Is the Library (R2) located North the Storage (R4)?,YES_NO,YES
q20,GeometryYN,Is the Lounge (R5) located North the Storage (R8)?,YES_NO,YES
q21,TopologyYN,Is there a direct connection between R6 and R8?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,YES
q23,TopologyYN,Is there a direct connection between R3 and R4?,YES_NO,YES
q24,TopologyYN,Is there a direct connection between R6 and R4?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R7 and R4?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R2 and R5?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R3 and R5?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R1 and R7?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R3 and R6?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R4 and R2?,YES_NO,NO
q31,ReachabilityYN,Can you reach R3 from R5?,YES_NO,YES
q32,ReachabilityYN,Can you reach R8 from R1?,YES_NO,YES
q33,ReachabilityYN,Can you reach R8 from R2?,YES_NO,YES
q34,ReachabilityYN,Can you reach R6 from R1?,YES_NO,YES
q35,ReachabilityYN,Can you reach R8 from R4?,YES_NO,YES
q36,ReachabilityYN,Can you reach R5 from R2?,YES_NO,YES
q37,ReachabilityYN,Can you reach R2 from R5?,YES_NO,YES
q38,ReachabilityYN,Can you reach R5 from R1?,YES_NO,YES
q39,ReachabilityYN,Can you reach R4 from R5?,YES_NO,YES
q40,ReachabilityYN,Can you reach R2 from R8?,YES_NO,YES
q41,PathGen,Provide the shortest path from R6 to R3.,PATH,R6->R1->R2->R3
q42,PathGen,Provide the shortest path from R5 to R3.,PATH,R5->R6->R1->R2->R3
q43,PathGen,Provide the shortest path from R2 to R7.,PATH,R2->R1->R6->R7
q44,PathGen,Provide the shortest path from R2 to R4.,PATH,R2->R3->R4
q45,PathGen,Provide the shortest path from R5 to R4.,PATH,R5->R6->R1->R2->R3->R4
q46,PathGen,Provide the shortest path from R2 to R1.,PATH,R2->R1
q47,PathGen,Provide the shortest path from R2 to R4.,PATH,R2->R3->R4
q48,PathGen,Provide the shortest path from R1 to R8.,PATH,R1->R6->R5->R8
q49,PathGen,Provide the shortest path from R3 to R5.,PATH,R3->R2->R1->R6->R5
q50,PathGen,Provide the shortest path from R8 to R6.,PATH,R8->R5->R6
