question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Speaker currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Amp currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Drawer currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Screwdriver currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Microphone currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Guitar currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Speaker currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Tape currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Projector currently located?,ROOM_ID,R9
q10,ObjectLocation,Where is the Cutter currently located?,ROOM_ID,R10
q11,GeometryYN,Is the Kitchen (R3) located North the Reception (R7)?,YES_NO,YES
q12,GeometryYN,Is the Bedroom (R10) located South the Kitchen (R8)?,YES_NO,YES
q13,GeometryYN,Is the Bathroom (R9) located South the Kitchen (R3)?,YES_NO,YES
q14,GeometryYN,Is the Bedroom (R5) located South the Kitchen (R3)?,YES_NO,YES
q15,GeometryYN,Is the Reception (R2) located at the same latitude as the Bathroom (R4)?,YES_NO,NO
q16,GeometryYN,Is the Lab (R1) located at the same latitude as the Bathroom (R4)?,YES_NO,NO
q17,GeometryYN,Is the Lab (R1) located North the Lab (R6)?,YES_NO,YES
q18,GeometryYN,Is the Bedroom (R10) located South the Kitchen (R8)?,YES_NO,YES
q19,GeometryYN,Is the Kitchen (R8) located at the same latitude as the Lab (R6)?,YES_NO,NO
q20,GeometryYN,Is the Reception (R2) located at the same latitude as the Lab (R1)?,YES_NO,NO
q21,TopologyYN,Is there a direct connection between R8 and R1?,YES_NO,YES
q22,TopologyYN,Is there a direct connection between R9 and R4?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R1 and R9?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R10 and R9?,YES_NO,YES
q25,TopologyYN,Is there a direct connection between R4 and R10?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R4 and R9?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R8 and R10?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R2 and R7?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R2 and R3?,YES_NO,YES
q30,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,YES
q31,ReachabilityYN,Can you reach R6 from R8?,YES_NO,YES
q32,ReachabilityYN,Can you reach R2 from R3?,YES_NO,YES
q33,ReachabilityYN,Can you reach R2 from R8?,YES_NO,YES
q34,ReachabilityYN,Can you reach R8 from R7?,YES_NO,YES
q35,ReachabilityYN,Can you reach R10 from R1?,YES_NO,YES
q36,ReachabilityYN,Can you reach R1 from R5?,YES_NO,YES
q37,ReachabilityYN,Can you reach R3 from R10?,YES_NO,YES
q38,ReachabilityYN,Can you reach R10 from R9?,YES_NO,YES
q39,ReachabilityYN,Can you reach R10 from R8?,YES_NO,YES
q40,ReachabilityYN,Can you reach R9 from R2?,YES_NO,YES
q41,PathGen,Provide the shortest path from R6 to R2.,PATH,R6->R3->R2
q42,PathGen,Provide the shortest path from R7 to R5.,PATH,R7->R6->R5
q43,PathGen,Provide the shortest path from R6 to R1.,PATH,R6->R3->R2->R1
q44,PathGen,Provide the shortest path from R2 to R10.,PATH,R2->R1->R8->R7->R10
q45,PathGen,Provide the shortest path from R10 to R2.,PATH,R10->R7->R6->R3->R2
q46,PathGen,Provide the shortest path from R10 to R1.,PATH,R10->R7->R8->R1
q47,PathGen,Provide the shortest path from R4 to R8.,PATH,R4->R3->R2->R1->R8
q48,PathGen,Provide the shortest path from R9 to R4.,PATH,R9->R8->R1->R2->R3->R4
q49,PathGen,Provide the shortest path from R7 to R4.,PATH,R7->R6->R3->R4
q50,PathGen,Provide the shortest path from R9 to R10.,PATH,R9->R10
