question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Mixer currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Kindle currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Printer currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Server currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Speaker currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Tablet currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Scanner currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Mixer currently located?,ROOM_ID,R1
q10,ObjectLocation,Where is the Kindle currently located?,ROOM_ID,R2
q11,GeometryYN,Is the Kitchen (R2) located North the Corridor (R7)?,YES_NO,YES
q12,GeometryYN,Is the Corridor (R7) located South the Storage (R1)?,YES_NO,YES
q13,GeometryYN,Is the MeetingRoom (R8) located South the MeetingRoom (R4)?,YES_NO,YES
q14,GeometryYN,Is the Storage (R1) located at the same latitude as the Corridor (R3)?,YES_NO,NO
q15,GeometryYN,Is the Corridor (R7) located at the same latitude as the MeetingRoom (R8)?,YES_NO,NO
q16,GeometryYN,Is the Corridor (R7) located South the Storage (R1)?,YES_NO,YES
q17,GeometryYN,Is the Storage (R5) located South the Corridor (R3)?,YES_NO,YES
q18,GeometryYN,Is the Kitchen (R2) located North the Corridor (R7)?,YES_NO,YES
q19,GeometryYN,Is the Storage (R5) located North the MeetingRoom (R8)?,YES_NO,YES
q20,GeometryYN,Is the Storage (R1) located North the Kitchen (R6)?,YES_NO,YES
q21,TopologyYN,Is there a direct connection between R4 and R5?,YES_NO,YES
q22,TopologyYN,Is there a direct connection between R5 and R4?,YES_NO,YES
q23,TopologyYN,Is there a direct connection between R4 and R2?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R6 and R4?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R6 and R5?,YES_NO,YES
q26,TopologyYN,Is there a direct connection between R5 and R2?,YES_NO,YES
q27,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R6 and R3?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R3 and R4?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,NO
q31,ReachabilityYN,Can you reach R1 from R5?,YES_NO,YES
q32,ReachabilityYN,Can you reach R1 from R7?,YES_NO,YES
q33,ReachabilityYN,Can you reach R2 from R6?,YES_NO,YES
q34,ReachabilityYN,Can you reach R3 from R4?,YES_NO,YES
q35,ReachabilityYN,Can you reach R8 from R6?,YES_NO,YES
q36,ReachabilityYN,Can you reach R2 from R5?,YES_NO,YES
q37,ReachabilityYN,Can you reach R3 from R7?,YES_NO,YES
q38,ReachabilityYN,Can you reach R5 from R3?,YES_NO,YES
q39,ReachabilityYN,Can you reach R7 from R8?,YES_NO,YES
q40,ReachabilityYN,Can you reach R6 from R2?,YES_NO,YES
q41,PathGen,Provide the shortest path from R1 to R4.,PATH,R1->R2->R5->R4
q42,PathGen,Provide the shortest path from R4 to R6.,PATH,R4->R5->R6
q43,PathGen,Provide the shortest path from R7 to R5.,PATH,R7->R6->R5
q44,PathGen,Provide the shortest path from R1 to R2.,PATH,R1->R2
q45,PathGen,Provide the shortest path from R6 to R8.,PATH,R6->R5->R8
q46,PathGen,Provide the shortest path from R4 to R8.,PATH,R4->R5->R8
q47,PathGen,Provide the shortest path from R7 to R8.,PATH,R7->R8
q48,PathGen,Provide the shortest path from R2 to R6.,PATH,R2->R1->R6
q49,PathGen,Provide the shortest path from R8 to R4.,PATH,R8->R5->R4
q50,PathGen,Provide the shortest path from R8 to R5.,PATH,R8->R5
