question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Server currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Table currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Router currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Desk currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Server currently located?,ROOM_ID,R1
q08,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R2
q09,ObjectLocation,Where is the Table currently located?,ROOM_ID,R3
q10,ObjectLocation,Where is the Router currently located?,ROOM_ID,R4
q11,GeometryYN,Is the Workshop (R3) located North the Workshop (R6)?,YES_NO,YES
q12,GeometryYN,Is the Lab (R4) located South the Bedroom (R2)?,YES_NO,YES
q13,GeometryYN,Is the Lab (R4) located South the Lab (R1)?,YES_NO,YES
q14,GeometryYN,Is the Bedroom (R5) located South the Workshop (R3)?,YES_NO,YES
q15,GeometryYN,Is the Bedroom (R2) located at the same latitude as the Workshop (R3)?,YES_NO,NO
q16,GeometryYN,Is the Bedroom (R5) located at the same latitude as the Workshop (R6)?,YES_NO,NO
q17,GeometryYN,Is the Lab (R4) located South the Lab (R1)?,YES_NO,YES
q18,GeometryYN,Is the Workshop (R3) located North the Workshop (R6)?,YES_NO,YES
q19,GeometryYN,Is the Workshop (R3) located North the Bedroom (R5)?,YES_NO,YES
q20,GeometryYN,Is the Workshop (R3) located at the same latitude as the Lab (R1)?,YES_NO,NO
q21,TopologyYN,Is there a direct connection between R5 and R3?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R2 and R6?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R3 and R6?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R4 and R3?,YES_NO,YES
q25,TopologyYN,Is there a direct connection between R6 and R4?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R3 and R6?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R3 and R1?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R4 and R6?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R3 and R5?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R4 and R6?,YES_NO,NO
q31,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q32,ReachabilityYN,Can you reach R5 from R4?,YES_NO,YES
q33,ReachabilityYN,Can you reach R3 from R5?,YES_NO,YES
q34,ReachabilityYN,Can you reach R2 from R6?,YES_NO,YES
q35,ReachabilityYN,Can you reach R1 from R2?,YES_NO,YES
q36,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q37,ReachabilityYN,Can you reach R1 from R5?,YES_NO,YES
q38,ReachabilityYN,Can you reach R6 from R4?,YES_NO,YES
q39,ReachabilityYN,Can you reach R4 from R3?,YES_NO,YES
q40,ReachabilityYN,Can you reach R3 from R4?,YES_NO,YES
q41,PathGen,Provide the shortest path from R4 to R1.,PATH,R4->R3->R2->R1
q42,PathGen,Provide the shortest path from R6 to R2.,PATH,R6->R1->R2
q43,PathGen,Provide the shortest path from R6 to R5.,PATH,R6->R5
q44,PathGen,Provide the shortest path from R4 to R1.,PATH,R4->R3->R2->R1
q45,PathGen,Provide the shortest path from R5 to R3.,PATH,R5->R2->R3
q46,PathGen,Provide the shortest path from R2 to R3.,PATH,R2->R3
q47,PathGen,Provide the shortest path from R3 to R1.,PATH,R3->R2->R1
q48,PathGen,Provide the shortest path from R5 to R2.,PATH,R5->R2
q49,PathGen,Provide the shortest path from R6 to R4.,PATH,R6->R1->R2->R3->R4
q50,PathGen,Provide the shortest path from R3 to R2.,PATH,R3->R2
