question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Box currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Phone currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Violin currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Crate currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Speaker currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Cabinet currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Projector currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Drum currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Sofa currently located?,ROOM_ID,R9
q10,ObjectLocation,Where is the Printer currently located?,ROOM_ID,R10
q11,GeometryYN,Is the Kitchen (R6) located North the Library (R11)?,YES_NO,YES
q12,GeometryYN,Is the Lab (R1) located North the Library (R11)?,YES_NO,YES
q13,GeometryYN,Is the Kitchen (R13) located South the Classroom (R2)?,YES_NO,YES
q14,GeometryYN,Is the Bedroom (R5) located North the Bedroom (R12)?,YES_NO,YES
q15,GeometryYN,Is the Library (R11) located at the same latitude as the Bedroom (R12)?,YES_NO,NO
q16,GeometryYN,Is the Bedroom (R12) located at the same latitude as the Classroom (R9)?,YES_NO,NO
q17,GeometryYN,Is the Bedroom (R12) located at the same latitude as the Classroom (R9)?,YES_NO,NO
q18,GeometryYN,Is the Kitchen (R13) located South the Library (R4)?,YES_NO,YES
q19,GeometryYN,Is the Reception (R7) located South the Library (R4)?,YES_NO,YES
q20,GeometryYN,Is the Bedroom (R12) located South the Classroom (R2)?,YES_NO,YES
q21,TopologyYN,Is there a direct connection between R5 and R9?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R5 and R1?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R13 and R6?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R10 and R8?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R3 and R14?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R13 and R14?,YES_NO,YES
q27,TopologyYN,Is there a direct connection between R6 and R3?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R10 and R4?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R8 and R1?,YES_NO,YES
q30,TopologyYN,Is there a direct connection between R7 and R12?,YES_NO,NO
q31,ReachabilityYN,Can you reach R3 from R8?,YES_NO,YES
q32,ReachabilityYN,Can you reach R7 from R6?,YES_NO,YES
q33,ReachabilityYN,Can you reach R10 from R14?,YES_NO,YES
q34,ReachabilityYN,Can you reach R5 from R8?,YES_NO,YES
q35,ReachabilityYN,Can you reach R14 from R4?,YES_NO,YES
q36,ReachabilityYN,Can you reach R11 from R8?,YES_NO,YES
q37,ReachabilityYN,Can you reach R7 from R3?,YES_NO,YES
q38,ReachabilityYN,Can you reach R2 from R12?,YES_NO,YES
q39,ReachabilityYN,Can you reach R5 from R1?,YES_NO,YES
q40,ReachabilityYN,Can you reach R8 from R2?,YES_NO,YES
q41,PathGen,Provide the shortest path from R2 to R6.,PATH,R2->R7->R6
q42,PathGen,Provide the shortest path from R13 to R6.,PATH,R13->R12->R5->R6
q43,PathGen,Provide the shortest path from R4 to R12.,PATH,R4->R5->R12
q44,PathGen,Provide the shortest path from R3 to R6.,PATH,R3->R2->R7->R6
q45,PathGen,Provide the shortest path from R14 to R6.,PATH,R14->R11->R6
q46,PathGen,Provide the shortest path from R1 to R8.,PATH,R1->R8
q47,PathGen,Provide the shortest path from R3 to R1.,PATH,R3->R2->R1
q48,PathGen,Provide the shortest path from R12 to R4.,PATH,R12->R5->R4
q49,PathGen,Provide the shortest path from R2 to R8.,PATH,R2->R1->R8
q50,PathGen,Provide the shortest path from R6 to R12.,PATH,R6->R5->R12
