question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the FileCabinet currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Table currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Drum currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Stool currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Box currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Lock currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the Chair currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Projector currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Crate currently located?,ROOM_ID,R9
q10,ObjectLocation,Where is the Table currently located?,ROOM_ID,R10
q11,GeometryYN,Is the Office (R2) located North the Lab (R11)?,YES_NO,YES
q12,GeometryYN,Is the Workshop (R6) located South the Library (R1)?,YES_NO,YES
q13,GeometryYN,Is the Storage (R7) located at the same latitude as the Workshop (R6)?,YES_NO,NO
q14,GeometryYN,Is the Office (R2) located North the Storage (R14)?,YES_NO,YES
q15,GeometryYN,Is the Bathroom (R10) located South the Bathroom (R3)?,YES_NO,YES
q16,GeometryYN,Is the MeetingRoom (R5) located North the Bathroom (R10)?,YES_NO,YES
q17,GeometryYN,Is the Bathroom (R10) located North the Storage (R14)?,YES_NO,YES
q18,GeometryYN,Is the MeetingRoom (R5) located North the Lab (R11)?,YES_NO,YES
q19,GeometryYN,Is the Office (R2) located North the Office (R9)?,YES_NO,YES
q20,GeometryYN,Is the Library (R1) located at the same latitude as the Lab (R4)?,YES_NO,NO
q21,TopologyYN,Is there a direct connection between R12 and R7?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R12 and R9?,YES_NO,NO
q23,TopologyYN,Is there a direct connection between R13 and R9?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R1 and R12?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R5 and R10?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R9 and R4?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R8 and R2?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R1 and R14?,YES_NO,NO
q29,TopologyYN,Is there a direct connection between R14 and R7?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R6 and R13?,YES_NO,NO
q31,ReachabilityYN,Can you reach R7 from R5?,YES_NO,YES
q32,ReachabilityYN,Can you reach R5 from R7?,YES_NO,YES
q33,ReachabilityYN,Can you reach R3 from R11?,YES_NO,YES
q34,ReachabilityYN,Can you reach R14 from R7?,YES_NO,YES
q35,ReachabilityYN,Can you reach R7 from R3?,YES_NO,YES
q36,ReachabilityYN,Can you reach R5 from R12?,YES_NO,YES
q37,ReachabilityYN,Can you reach R13 from R2?,YES_NO,YES
q38,ReachabilityYN,Can you reach R8 from R1?,YES_NO,YES
q39,ReachabilityYN,Can you reach R10 from R4?,YES_NO,YES
q40,ReachabilityYN,Can you reach R5 from R14?,YES_NO,YES
q41,PathGen,Provide the shortest path from R5 to R14.,PATH,R5->R6->R11->R14
q42,PathGen,Provide the shortest path from R3 to R5.,PATH,R3->R4->R5
q43,PathGen,Provide the shortest path from R10 to R7.,PATH,R10->R7
q44,PathGen,Provide the shortest path from R11 to R13.,PATH,R11->R12->R13
q45,PathGen,Provide the shortest path from R11 to R10.,PATH,R11->R6->R7->R10
q46,PathGen,Provide the shortest path from R2 to R1.,PATH,R2->R1
q47,PathGen,Provide the shortest path from R11 to R3.,PATH,R11->R6->R3
q48,PathGen,Provide the shortest path from R1 to R10.,PATH,R1->R2->R7->R10
q49,PathGen,Provide the shortest path from R5 to R14.,PATH,R5->R6->R11->R14
q50,PathGen,Provide the shortest path from R9 to R14.,PATH,R9->R8->R7->R6->R11->R14
