question_id,task_type,question_text,answer_format,ground_truth
q01,ObjectLocation,Where is the Light currently located?,ROOM_ID,R1
q02,ObjectLocation,Where is the Light currently located?,ROOM_ID,R2
q03,ObjectLocation,Where is the Router currently located?,ROOM_ID,R3
q04,ObjectLocation,Where is the Tablet currently located?,ROOM_ID,R4
q05,ObjectLocation,Where is the Laptop currently located?,ROOM_ID,R5
q06,ObjectLocation,Where is the Light currently located?,ROOM_ID,R6
q07,ObjectLocation,Where is the BadgeReader currently located?,ROOM_ID,R7
q08,ObjectLocation,Where is the Printer currently located?,ROOM_ID,R8
q09,ObjectLocation,Where is the Light currently located?,ROOM_ID,R1
q10,ObjectLocation,Where is the Light currently located?,ROOM_ID,R2
q11,GeometryYN,Is the Reception (R7) located South the Corridor (R2)?,YES_NO,YES
q12,GeometryYN,Is the Bathroom (R1) located at the same latitude as the Reception (R3)?,YES_NO,NO
q13,GeometryYN,Is the Bathroom (R5) located South the Reception (R3)?,YES_NO,YES
q14,GeometryYN,Is the Bathroom (R1) located at the same latitude as the Reception (R3)?,YES_NO,NO
q15,GeometryYN,Is the Reception (R7) located South the Reception (R3)?,YES_NO,YES
q16,GeometryYN,Is the Bathroom (R1) located North the Bathroom (R5)?,YES_NO,YES
q17,GeometryYN,Is the Corridor (R6) located at the same latitude as the Lounge (R4)?,YES_NO,NO
q18,GeometryYN,Is the Lounge (R8) located South the Bathroom (R1)?,YES_NO,YES
q19,GeometryYN,Is the Lounge (R8) located South the Bathroom (R5)?,YES_NO,YES
q20,GeometryYN,Is the Bathroom (R5) located at the same latitude as the Corridor (R6)?,YES_NO,NO
q21,TopologyYN,Is there a direct connection between R1 and R8?,YES_NO,NO
q22,TopologyYN,Is there a direct connection between R3 and R2?,YES_NO,YES
q23,TopologyYN,Is there a direct connection between R3 and R8?,YES_NO,NO
q24,TopologyYN,Is there a direct connection between R3 and R1?,YES_NO,NO
q25,TopologyYN,Is there a direct connection between R2 and R4?,YES_NO,NO
q26,TopologyYN,Is there a direct connection between R4 and R6?,YES_NO,NO
q27,TopologyYN,Is there a direct connection between R4 and R8?,YES_NO,NO
q28,TopologyYN,Is there a direct connection between R1 and R2?,YES_NO,YES
q29,TopologyYN,Is there a direct connection between R6 and R2?,YES_NO,NO
q30,TopologyYN,Is there a direct connection between R5 and R2?,YES_NO,YES
q31,ReachabilityYN,Can you reach R8 from R6?,YES_NO,YES
q32,ReachabilityYN,Can you reach R5 from R6?,YES_NO,YES
q33,ReachabilityYN,Can you reach R5 from R3?,YES_NO,YES
q34,ReachabilityYN,Can you reach R6 from R4?,YES_NO,YES
q35,ReachabilityYN,Can you reach R7 from R5?,YES_NO,YES
q36,ReachabilityYN,Can you reach R7 from R3?,YES_NO,YES
q37,ReachabilityYN,Can you reach R7 from R5?,YES_NO,YES
q38,ReachabilityYN,Can you reach R4 from R2?,YES_NO,YES
q39,ReachabilityYN,Can you reach R3 from R1?,YES_NO,YES
q40,ReachabilityYN,Can you reach R5 from R2?,YES_NO,YES
q41,PathGen,Provide the shortest path from R8 to R1.,PATH,R8->R7->R6->R1
q42,PathGen,Provide the shortest path from R3 to R8.,PATH,R3->R2->R1->R6->R7->R8
q43,PathGen,Provide the shortest path from R6 to R8.,PATH,R6->R7->R8
q44,PathGen,Provide the shortest path from R2 to R5.,PATH,R2->R5
q45,PathGen,Provide the shortest path from R6 to R3.,PATH,R6->R1->R2->R3
q46,PathGen,Provide the shortest path from R4 to R2.,PATH,R4->R5->R2
q47,PathGen,Provide the shortest path from R8 to R7.,PATH,R8->R7
q48,PathGen,Provide the shortest path from R4 to R7.,PATH,R4->R5->R6->R7
q49,PathGen,Provide the shortest path from R1 to R4.,PATH,R1->R2->R5->R4
q50,PathGen,Provide the shortest path from R1 to R5.,PATH,R1->R2->R5
